cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.378	0.519	0.507	0.521	0.476	0.524	0.549	0.424	0.429	0.514	-0.626529	4.31717	-0.636	4.24164	1.06054	0.0200186
20	0.448	0.529	0.505	0.495	0.398	0.457	0.594	0.483	0.399	0.518	-0.756155	4.5877	-0.696	4.52776	1.05791	0.0205975
30	0.445	0.548	0.497	0.531	0.427	0.459	0.611	0.454	0.385	0.506	-0.563305	4.40898	-0.548	4.27273	1.05976	0.0201669
40	0.36	0.572	0.473	0.576	0.414	0.435	0.747	0.511	0.447	0.485	0.0309504	4.53487	0.08	4.43271	1.0598	0.0213068
50	0.371	0.513	0.449	0.543	0.437	0.513	0.788	0.49	0.457	0.51	0.205956	4.37276	0.284	4.16004	1.06016	0.0196969
60	0.315	0.521	0.419	0.575	0.431	0.573	0.803	0.446	0.481	0.467	0.164269	4.29512	0.124	4.21761	1.06038	0.0197751
70	0.294	0.516	0.446	0.593	0.36	0.599	0.793	0.448	0.439	0.474	-0.167464	4.30845	-0.152	4.15445	1.06081	0.0200224
80	0.189	0.518	0.473	0.627	0.323	0.604	0.829	0.583	0.465	0.405	0.092925	4.32398	0.064	4.29147	1.0602	0.0193582
90	0.239	0.586	0.511	0.613	0.33	0.596	0.839	0.574	0.412	0.35	0.271409	4.09788	0.2	4.02497	1.06217	0.0192382
100	0.267	0.48	0.538	0.656	0.334	0.581	0.833	0.581	0.385	0.376	0.144581	4.21068	0.124	4.07453	1.06043	0.0188168
110	0.25	0.564	0.477	0.598	0.371	0.482	0.825	0.573	0.354	0.386	-0.515739	4.33873	-0.48	4.3247	1.06055	0.0196182
120	0.205	0.537	0.48	0.579	0.321	0.486	0.886	0.585	0.369	0.337	-0.844602	4.1405	-0.86	4.01455	1.06139	0.0193546
130	0.235	0.552	0.506	0.561	0.269	0.557	0.908	0.595	0.397	0.412	-0.0152251	4.45369	-0.032	4.2937	1.05915	0.019921
140	0.239	0.538	0.508	0.546	0.306	0.494	0.921	0.627	0.417	0.371	-0.22369	4.32175	-0.132	4.16957	1.0598	0.019579
150	0.231	0.525	0.541	0.567	0.317	0.563	0.888	0.669	0.514	0.415	0.941379	4.35678	0.92	4.26215	1.05924	0.0204882
160	0.23	0.484	0.569	0.59	0.261	0.582	0.916	0.636	0.443	0.387	0.440581	4.22679	0.392	4.05651	1.06068	0.0194016
170	0.208	0.435	0.539	0.622	0.28	0.566	0.918	0.616	0.444	0.291	-0.261874	4.1007	-0.324	4.02385	1.0613	0.0184584
180	0.178	0.379	0.481	0.678	0.293	0.575	0.894	0.616	0.372	0.239	-1.21095	4.29953	-1.18	4.14463	1.06008	0.0203765
190	0.203	0.417	0.451	0.734	0.292	0.594	0.912	0.594	0.361	0.18	-1.02082	4.07486	-1.048	3.88895	1.06104	0.0194681
200	0.19	0.409	0.374	0.736	0.27	0.599	0.944	0.579	0.292	0.226	-1.49464	4.07012	-1.524	3.98864	1.05992	0.0196005
210	0.199	0.317	0.415	0.754	0.295	0.529	0.917	0.59	0.338	0.246	-1.55015	3.90704	-1.6	3.79008	1.06087	0.0195096
220	0.2	0.268	0.455	0.752	0.247	0.464	0.923	0.616	0.365	0.28	-1.70057	4.00773	-1.72	3.96599	1.05981	0.0196849
230	0.252	0.34	0.41	0.67	0.26	0.367	0.957	0.547	0.422	0.28	-1.96396	4.33713	-1.98	4.2947	1.05752	0.0214675
