cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
10	0.52	0.494	0.473	0.536	0.468	0.464	0.497	0.475	0.581	0.571	0.307519	4.74679	0.316	4.59024	1.05777	0.0214649
20	0.448	0.555	0.428	0.52	0.488	0.488	0.433	0.48	0.514	0.523	-0.420242	4.62132	-0.492	4.51294	1.05863	0.0205985
30	0.575	0.487	0.458	0.533	0.452	0.437	0.465	0.43	0.545	0.438	-0.67128	4.6293	-0.72	4.59781	1.05828	0.02133
40	0.493	0.56	0.398	0.51	0.444	0.421	0.527	0.466	0.579	0.458	-0.585514	4.49303	-0.576	4.48246	1.05845	0.0197375
50	0.451	0.614	0.395	0.447	0.35	0.479	0.436	0.501	0.572	0.506	-0.932498	4.61777	-0.996	4.48645	1.05773	0.020969
60	0.448	0.643	0.33	0.493	0.384	0.358	0.455	0.552	0.602	0.55	-0.719974	4.3868	-0.74	4.29246	1.05935	0.0202484
70	0.487	0.647	0.292	0.566	0.377	0.288	0.422	0.507	0.594	0.534	-1.12868	4.31715	-1.144	4.18836	1.05929	0.0203645
80	0.471	0.736	0.213	0.584	0.341	0.25	0.436	0.468	0.574	0.485	-1.74361	4.39149	-1.768	4.20256	1.05848	0.0214671
90	0.521	0.733	0.154	0.588	0.31	0.259	0.468	0.558	0.665	0.547	-0.811582	4.09147	-0.788	3.99738	1.06059	0.018569
100	0.484	0.674	0.127	0.526	0.336	0.28	0.541	0.6	0.616	0.423	-1.52276	4.50316	-1.572	4.34956	1.05788	0.0215187
110	0.516	0.752	0.151	0.494	0.313	0.325	0.584	0.562	0.632	0.487	-0.799021	4.21197	-0.736	4.21686	1.06037	0.0194349
120	0.591	0.682	0.144	0.425	0.372	0.304	0.617	0.477	0.68	0.483	-0.865039	4.51751	-0.9	4.42053	1.05896	0.0208598
130	0.473	0.642	0.153	0.447	0.345	0.337	0.71	0.387	0.63	0.503	-1.5575	4.44381	-1.492	4.35015	1.05767	0.0210225
140	0.483	0.712	0.161	0.444	0.379	0.373	0.77	0.435	0.68	0.461	-0.42216	4.29551	-0.408	4.2291	1.06085	0.0200819
150	0.459	0.744	0.107	0.425	0.361	0.286	0.814	0.489	0.672	0.535	-0.368871	3.91565	-0.432	3.78233	1.06218	0.0177452
160	0.452	0.724	0.143	0.41	0.362	0.328	0.757	0.422	0.65	0.522	-0.936387	4.24255	-0.92	4.07957	1.06023	0.0201159
170	0.451	0.722	0.119	0.481	0.43	0.334	0.76	0.412	0.688	0.46	-0.536209	4.47321	-0.572	4.31811	1.05959	0.0207561
180	0.397	0.719	0.083	0.519	0.52	0.369	0.655	0.402	0.62	0.471	-0.928734	4.2907	-0.98	4.23266	1.05985	0.019901
190	0.435	0.695	0.053	0.449	0.505	0.326	0.617	0.372	0.619	0.482	-1.81269	4.34233	-1.788	4.33597	1.05756	0.0210594
200	0.434	0.73	0.052	0.399	0.506	0.259	0.657	0.318	0.65	0.529	-1.92062	4.2046	-1.864	4.14534	1.05848	0.0210111
210	0.333	0.677	0.047	0.439	0.549	0.347	0.68	0.316	0.652	0.585	-1.52467	4.36254	-1.5	4.22014	1.05816	0.0207387
220	0.303	0.683	0.071	0.536	0.485	0.346	0.669	0.28	0.734	0.603	-1.13746	4.40403	-1.16	4.34375	1.05856	0.0199886
230	0.284	0.735	0.088	0.536	0.479	0.357	0.707	0.255	0.764	0.615	-0.745688	4.0146	-0.72	3.85842	1.06138	0.018395
240	0.329	0.702	0.107	0.628	0.408	0.289	0.65	0.232	0.783	0.65	-0.775485	4.0384	-0.888	3.88351	1.06172	0.0189649
250	0.373	0.719	0.079	0.605	0.462	0.29	0.655	0.268	0.756	0.608	-0.804958	4.06669	-0.74	3.88466	1.06165	0.0190842
260	0.466	0.67	0.122	0.677	0.475	0.158	0.615	0.195	0.769	0.608	-0.942548	4.14364	-0.98	4.03884	1.06047	0.019555
270	0.519	0.574	0.084	0.683	0.558	0.127	0.65	0.195	0.765	0.635	-0.891898	4.28462	-0.84	4.20497	1.05993	0.0198208
280	0.528	0.604	0.077	0.651	0.671	0.132	0.691	0.206	0.815	0.65	0.0678641	3.82914	0.1	3.72582	1.06332	0.0170999
290	0.555	0.537	0.079	0.697	0.645	0.11	0.761	0.226	0.827	0.58	-0.0134619	3.74452	0.068	3.59294	1.06402	0.0172338
300	0.574	0.564	0.055	0.799	0.604	0.133	0.69	0.241	0.813	0.585	0.229952	3.74933	0.232	3.66238	1.06378	0.0165582
310	0.512	0.558	0.06	0.828	0.643	0.128	0.717	0.279	0.857	0.545	0.492679	3.78501	0.508	3.61996	1.06339	0.0176881
320	0.486	0.546	0.052	0.829	0.626	0.206	0.777	0.226	0.831	0.631	0.88045	4.15927	0.84	3.98776	1.06092	0.0192685
330	0.547	0.544	0.088	0.824	0.589	0.232	0.782	0.261	0.853	0.659	1.53745	4.10618	1.516	3.92895	1.06005	0.0196888
340	0.586	0.567	0.1	0.825	0.584	0.251	0.702	0.196	0.852	0.687	1.37807	4.11551	1.4	3.95263	1.06052	0.0202969
350	0.535	0.521	0.05	0.736	0.633	0.275	0.611	0.261	0.84	0.706	0.66671	4.07664	0.672	3.94507	1.06169	0.0189572
360	0.499	0.509	0.024	0.763	0.514	0.289	0.702	0.278	0.883	0.708	0.634888	3.94554	0.676	3.89221	1.06178	0.0175215
370	0.43	0.489	0.007	0.779	0.579	0.335	0.693	0.222	0.862	0.69	0.289826	3.95652	0.344	3.79136	1.06281	0.0183509
380	0.461	0.419	0.0	0.79	0.616	0.333	0.662	0.185	0.831	0.743	0.157327	3.81164	0.16	3.73769	1.06364	0.0174771
390	0.463	0.444	0.0	0.728	0.551	0.295	0.655	0.147	0.818	0.808	-0.359863	3.82333	-0.364	3.75015	1.06301	0.0173881
400	0.439	0.537	0.0	0.774	0.591	0.225	0.641	0.094	0.811	0.854	-0.157342	3.63435	-0.136	3.49714	1.06496	0.0166479
410	0.353	0.598	0.0	0.774	0.622	0.207	0.632	0.076	0.918	0.908	0.37891	3.53456	0.352	3.35539	1.06488	0.0159622
420	0.307	0.686	0.0	0.824	0.622	0.14	0.487	0.098	0.858	0.915	-0.224934	3.3911	-0.252	3.26647	1.06584	0.0151004
430	0.269	0.705	0.0	0.811	0.573	0.109	0.537	0.132	0.801	0.909	-0.598153	3.65119	-0.616	3.54142	1.06445	0.0172021
440	0.294	0.714	0.0	0.801	0.543	0.103	0.55	0.171	0.781	0.892	-0.589217	3.64059	-0.604	3.49451	1.06412	0.0162982
450	0.292	0.722	0.0	0.805	0.456	0.071	0.493	0.165	0.82	0.894	-1.09295	3.71763	-1.128	3.58012	1.06346	0.0182548
460	0.291	0.696	0.0	0.798	0.527	0.066	0.415	0.22	0.825	0.937	-0.905838	3.61442	-0.9	3.50408	1.06392	0.0167718
470	0.232	0.745	0.0	0.831	0.533	0.086	0.388	0.236	0.834	0.958	-0.625869	3.42995	-0.628	3.34724	1.06555	0.0159844
480	0.235	0.783	0.0	0.817	0.528	0.09	0.41	0.274	0.77	0.96	-0.564651	3.57651	-0.532	3.33034	1.06423	0.0156752
490	0.164	0.776	0.0	0.789	0.616	0.11	0.416	0.302	0.733	0.976	-0.430759	3.57447	-0.472	3.49538	1.06454	0.0159208
500	0.199	0.798	0.0	0.777	0.472	0.051	0.475	0.303	0.738	0.988	-0.800518	3.55306	-0.796	3.35692	1.06431	0.0162811
510	0.196	0.794	0.0	0.826	0.477	0.041	0.527	0.236	0.752	0.99	-0.722521	3.22821	-0.644	3.08485	1.06656	0.0146512
520	0.248	0.808	0.0	0.841	0.514	0.031	0.584	0.204	0.728	0.999	-0.109032	3.36654	-0.172	3.16709	1.06631	0.0152866
530	0.273	0.836	0.0	0.836	0.484	0.049	0.551	0.221	0.723	1.0	-0.0596839	3.34742	-0.108	3.1674	1.0664	0.015244
540	0.315	0.851	0.0	0.797	0.486	0.049	0.575	0.133	0.777	1.0	-0.0486689	3.32912	-0.068	3.21871	1.0664	0.0148883
550	0.389	0.882	0.0	0.775	0.433	0.072	0.632	0.145	0.79	1.0	0.533312	3.44819	0.472	3.26535	1.06515	0.0153868
560	0.413	0.884	0.0	0.82	0.427	0.098	0.671	0.166	0.751	1.0	0.894903	3.30545	0.92	3.16063	1.06595	0.0156728
570	0.447	0.904	0.0	0.821	0.383	0.108	0.643	0.14	0.668	1.0	0.543376	3.51529	0.456	3.34761	1.06495	0.016122
580	0.484	0.932	0.0	0.874	0.323	0.059	0.644	0.106	0.65	1.0	0.249448	3.26562	0.288	3.02777	1.06662	0.0145071
590	0.455	0.916	0.0	0.823	0.335	0.076	0.631	0.152	0.686	1.0	0.327911	3.65695	0.296	3.43394	1.06435	0.0169547
600	0.443	0.92	0.0	0.788	0.293	0.099	0.669	0.133	0.672	1.0	0.123834	3.41872	0.068	3.24352	1.06569	0.015205
610	0.452	0.943	0.0	0.79	0.325	0.069	0.747	0.148	0.711	1.0	0.760933	3.30837	0.74	3.14837	1.066	0.0152853
620	0.477	0.951	0.0	0.724	0.293	0.061	0.745	0.119	0.704	1.0	0.311151	3.23254	0.296	3.05336	1.06674	0.0141278
630	0.488	0.973	0.0	0.754	0.289	0.047	0.675	0.126	0.631	1.0	-0.0662132	3.38893	-0.068	3.18617	1.06595	0.0150349
640	0.442	0.972	0.0	0.744	0.238	0.031	0.618	0.103	0.663	1.0	-0.757809	3.0415	-0.756	2.94717	1.06746	0.0136807
650	0.414	0.978	0.0	0.664	0.189	0.042	0.615	0.151	0.629	1.0	-1.19794	3.12301	-1.272	3.00668	1.067	0.0155957
