generation	phenotype
10000	7.35084
10000	-9.39486
10000	0.277452
10000	-5.00516
10000	-9.07365
10000	-3.07002
10000	-8.22391
10000	8.05441
10000	-6.48293
10000	4.35297
10000	10.303
10000	-2.69304
10000	-0.308645
10000	-17.1448
10000	-14.8694
10000	1.75619
10000	5.93372
10000	-11.0397
10000	-8.08291
10000	1.26897
10000	-1.34944
10000	1.85282
10000	-20.1672
10000	8.03713
10000	2.93692
10000	-4.38338
10000	9.34761
10000	6.02519
10000	0.0638373
10000	-8.52443
10000	-5.58499
10000	-6.73771
10000	-19.9061
10000	-8.46966
10000	-2.90964
10000	-1.08115
10000	-5.82596
10000	5.14555
10000	-19.7732
10000	-11.8462
10000	-11.9439
10000	2.97872
10000	-6.52029
10000	-12.4165
10000	2.20873
10000	8.63141
10000	12.4564
10000	-9.65139
10000	5.47035
10000	-14.0384
10000	-8.43928
10000	-2.80428
10000	-16.1519
10000	-9.77888
10000	0.521747
10000	-19.5927
10000	5.258
10000	9.34834
10000	2.29867
10000	-10.496
10000	-4.31578
10000	6.21694
10000	-4.98839
10000	3.69505
10000	2.92675
10000	-9.19305
10000	2.52301
10000	-2.68112
10000	-14.8345
10000	-1.14178
10000	3.77877
10000	8.88856
10000	-12.1144
10000	-8.80944
10000	12.2345
10000	-7.55517
10000	-13.4846
10000	-10.8767
10000	4.2238
10000	13.6485
10000	-9.15458
10000	-4.2066
10000	1.80342
10000	1.66287
10000	-3.01814
10000	-11.6656
10000	1.33063
10000	19.6102
10000	-13.6069
10000	-2.18225
10000	1.69166
10000	1.87286
10000	3.99786
10000	-2.15011
10000	10.5888
10000	7.23236
10000	-5.95961
10000	-13.0402
10000	-2.48079
10000	-0.378356
10000	-1.12028
10000	5.75546
10000	-4.48521
10000	2.49241
10000	1.78543
10000	5.64093
10000	-0.554104
10000	12.1735
10000	2.97716
10000	-6.24748
10000	-7.41123
10000	-5.66162
10000	5.28582
10000	-9.22998
10000	8.27436
10000	-5.30515
10000	-9.87167
10000	7.35606
10000	14.602
10000	-17.2685
10000	-17.3825
10000	-10.5716
10000	-3.6766
10000	-4.73902
10000	18.2544
10000	-4.3438
10000	0.855029
10000	6.69797
10000	10.2212
10000	1.44291
10000	-3.25683
10000	2.15038
10000	-4.03193
10000	-4.85971
10000	30.5865
10000	-19.8005
10000	8.89842
10000	-0.0721552
10000	-14.6926
10000	3.3368
10000	-2.52266
10000	-0.288695
10000	9.33863
10000	2.82842
10000	-3.53947
10000	-0.272163
