cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
2	0.494	0.498	0.498	0.502	0.514	0.472	0.478	0.508	0.503	0.498	-0.36401	8.80137	-0.14	4.45377	1.03899	0.0285401
10	0.49	0.525	0.476	0.475	0.541	0.508	0.438	0.47	0.422	0.468	-2.40213	8.80793	-0.748	4.41991	1.03888	0.0292741
20	0.48	0.446	0.515	0.495	0.485	0.512	0.468	0.464	0.394	0.541	-2.65154	9.01048	-0.8	4.57404	1.03683	0.0292448
30	0.478	0.461	0.459	0.56	0.566	0.583	0.459	0.435	0.388	0.51	-1.29124	8.50271	-0.404	4.27379	1.03866	0.028279
40	0.535	0.48	0.488	0.567	0.572	0.636	0.397	0.414	0.421	0.491	0.0841241	8.51563	0.004	4.29101	1.04064	0.0291359
50	0.543	0.441	0.467	0.512	0.625	0.596	0.487	0.372	0.358	0.469	-1.61044	8.83926	-0.52	4.36069	1.03787	0.0284137
60	0.53	0.49	0.55	0.508	0.62	0.443	0.601	0.516	0.274	0.504	0.336199	8.77427	0.144	4.32674	1.03921	0.0285878
70	0.607	0.505	0.619	0.423	0.569	0.406	0.567	0.618	0.33	0.472	1.5126	8.18585	0.464	4.01908	1.04092	0.0288549
80	0.645	0.466	0.596	0.419	0.524	0.408	0.634	0.573	0.322	0.434	0.463777	9.25497	0.084	4.56713	1.03715	0.0286336
90	0.65	0.401	0.549	0.346	0.56	0.45	0.652	0.574	0.333	0.336	-1.89989	8.73096	-0.596	4.32229	1.04007	0.0289605
100	0.622	0.394	0.596	0.407	0.563	0.453	0.602	0.612	0.361	0.343	-0.698594	8.66935	-0.188	4.33338	1.04007	0.0287712
110	0.667	0.412	0.6	0.398	0.548	0.403	0.658	0.569	0.39	0.362	0.0576274	8.89103	0.028	4.33923	1.03895	0.0294319
120	0.687	0.409	0.551	0.332	0.587	0.426	0.648	0.438	0.429	0.393	-1.39218	8.74658	-0.4	4.39347	1.0396	0.0289296
130	0.694	0.347	0.62	0.288	0.574	0.465	0.682	0.437	0.401	0.412	-1.02788	8.87532	-0.32	4.45615	1.03933	0.028537
140	0.74	0.362	0.564	0.237	0.56	0.475	0.637	0.394	0.325	0.511	-2.35866	8.94941	-0.78	4.43429	1.03795	0.0288082
150	0.763	0.379	0.662	0.228	0.512	0.396	0.641	0.373	0.297	0.595	-2.21991	8.28362	-0.616	4.10735	1.03951	0.0276702
160	0.739	0.367	0.716	0.275	0.491	0.454	0.622	0.25	0.332	0.581	-2.21235	8.09943	-0.692	4.03704	1.04159	0.02864
170	0.647	0.4	0.739	0.306	0.426	0.538	0.606	0.207	0.357	0.685	-1.17568	8.99773	-0.356	4.45432	1.03833	0.0283579
180	0.682	0.27	0.758	0.271	0.408	0.519	0.656	0.243	0.413	0.778	0.011722	8.19139	-0.008	4.09897	1.04079	0.0282912
190	0.638	0.318	0.741	0.285	0.443	0.52	0.688	0.266	0.379	0.773	0.776396	8.38971	0.204	4.15896	1.04019	0.02742
200	0.627	0.38	0.741	0.228	0.311	0.563	0.702	0.247	0.361	0.848	-0.0900883	8.67838	0.032	4.25431	1.03994	0.0283199
210	0.645	0.322	0.8	0.215	0.299	0.549	0.75	0.321	0.344	0.842	0.906205	7.97249	0.348	3.92501	1.0413	0.0276645
220	0.686	0.235	0.813	0.205	0.326	0.588	0.846	0.321	0.304	0.875	2.9348	8.07533	0.796	3.99378	1.03917	0.0282485
230	0.728	0.27	0.851	0.159	0.272	0.593	0.856	0.326	0.386	0.906	4.33923	7.71694	1.388	3.80294	1.03946	0.0284177
240	0.587	0.25	0.818	0.18	0.249	0.645	0.796	0.314	0.403	0.951	2.56709	7.85849	0.772	3.88461	1.0405	0.0277935
250	0.503	0.195	0.838	0.115	0.237	0.632	0.804	0.301	0.346	0.962	-0.9556	6.87625	-0.268	3.39045	1.04636	0.0271679
260	0.475	0.161	0.84	0.144	0.241	0.691	0.909	0.325	0.221	0.953	-0.183828	6.8757	-0.16	3.35334	1.04752	0.0267424
270	0.501	0.161	0.822	0.129	0.261	0.673	0.919	0.334	0.215	0.964	-0.269261	7.29985	-0.084	3.60818	1.04611	0.0272011
280	0.485	0.165	0.872	0.088	0.261	0.627	0.941	0.323	0.209	0.974	-0.702015	6.92395	-0.22	3.43383	1.04644	0.026541
290	0.476	0.172	0.899	0.079	0.252	0.596	0.954	0.319	0.24	0.979	-0.42506	6.6367	-0.136	3.29412	1.04731	0.0267013
300	0.384	0.122	0.9	0.085	0.226	0.581	0.981	0.356	0.189	0.98	-2.54284	6.52058	-0.784	3.09783	1.04624	0.0269495
310	0.384	0.131	0.932	0.109	0.31	0.64	0.976	0.387	0.167	0.964	0.0580556	6.78193	0.0	3.32357	1.04854	0.0272567
320	0.324	0.075	0.956	0.08	0.246	0.708	0.986	0.474	0.186	0.975	0.0753313	6.32363	0.04	3.17531	1.04881	0.0258413
330	0.252	0.06	0.983	0.065	0.235	0.675	0.983	0.473	0.156	0.991	-1.69893	5.72852	-0.508	2.80958	1.05076	0.0247962
340	0.237	0.103	0.986	0.069	0.232	0.71	0.999	0.487	0.172	1.0	-0.0731655	6.32952	-0.02	3.02951	1.04946	0.0259759
350	0.189	0.104	0.997	0.066	0.173	0.677	0.992	0.45	0.202	1.0	-2.114	5.91685	-0.6	2.88872	1.04938	0.0253558
360	0.247	0.106	1.0	0.042	0.169	0.788	1.0	0.467	0.172	1.0	-0.0071566	6.01416	-0.036	2.9051	1.05033	0.0254724
370	0.152	0.13	1.0	0.03	0.17	0.826	1.0	0.573	0.173	1.0	0.756685	5.86494	0.216	2.78583	1.05183	0.024384
380	0.144	0.146	1.0	0.017	0.201	0.836	1.0	0.621	0.111	1.0	1.37117	5.43668	0.304	2.62017	1.05293	0.0236987
390	0.17	0.09	1.0	0.001	0.218	0.862	1.0	0.693	0.07	1.0	1.22728	5.42222	0.416	2.61699	1.05341	0.0236532
400	0.125	0.044	1.0	0.0	0.225	0.876	1.0	0.721	0.074	1.0	0.570135	4.9145	0.26	2.30108	1.05772	0.0220219
410	0.179	0.05	1.0	0.0	0.233	0.88	1.0	0.784	0.09	1.0	2.82951	4.98417	0.864	2.3598	1.05232	0.0238923
420	0.139	0.039	1.0	0.0	0.206	0.945	1.0	0.793	0.042	1.0	2.31465	4.6253	0.656	2.13794	1.0572	0.0228633
430	0.166	0.076	1.0	0.0	0.17	0.968	1.0	0.725	0.014	1.0	1.8007	4.53949	0.476	2.06251	1.05773	0.0218146
440	0.106	0.052	1.0	0.0	0.166	0.971	1.0	0.647	0.008	1.0	-0.618563	4.5363	-0.2	2.04361	1.05978	0.0208398
450	0.082	0.026	1.0	0.0	0.145	0.987	1.0	0.711	0.003	1.0	-0.590741	4.04981	-0.184	1.88607	1.06211	0.0191462
460	0.081	0.013	1.0	0.0	0.107	0.997	1.0	0.704	0.009	1.0	-0.993192	4.18242	-0.356	1.89749	1.06025	0.0192951
470	0.079	0.009	1.0	0.0	0.063	1.0	1.0	0.723	0.0	1.0	-1.49071	3.8084	-0.504	1.62705	1.06219	0.0190231
480	0.074	0.009	1.0	0.0	0.065	1.0	1.0	0.75	0.0	1.0	-0.813215	3.84994	-0.408	1.69212	1.06334	0.018556
490	0.055	0.005	1.0	0.006	0.064	1.0	1.0	0.84	0.0	1.0	-0.588559	3.35533	-0.12	1.42747	1.06629	0.0158552
500	0.036	0.0	1.0	0.0	0.074	1.0	1.0	0.869	0.0	1.0	-0.344748	3.10003	-0.084	1.29781	1.06783	0.0140705
510	0.05	0.0	1.0	0.0	0.03	1.0	1.0	0.907	0.0	1.0	-0.0649634	3.07544	-0.052	1.15584	1.06834	0.0140537
520	0.048	0.0	1.0	0.0	0.015	1.0	1.0	0.9	0.0	1.0	-0.567597	2.97027	-0.148	1.12634	1.0686	0.0136464
530	0.032	0.0	1.0	0.0	0.009	1.0	1.0	0.909	0.0	1.0	-0.712794	2.65776	-0.2	0.992961	1.07023	0.0124323
540	0.044	0.0	1.0	0.0	0.001	1.0	1.0	0.906	0.0	1.0	-0.514282	2.84729	-0.196	1.0216	1.06941	0.0135854
