cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
2	0.517	0.485	0.511	0.457	0.488	0.51	0.503	0.487	0.503	0.489	-0.661904	9.12445	-0.2	4.61504	1.04528	0.102398
10	0.463	0.497	0.478	0.481	0.457	0.442	0.474	0.521	0.579	0.489	-1.57671	9.07273	-0.476	4.44848	1.03187	0.0830335
20	0.474	0.456	0.454	0.596	0.513	0.381	0.576	0.507	0.592	0.55	1.29882	9.02379	0.396	4.44011	1.04409	0.102479
30	0.451	0.526	0.371	0.489	0.501	0.474	0.596	0.481	0.671	0.541	1.45953	9.06961	0.404	4.48252	1.05257	0.113623
40	0.482	0.497	0.414	0.463	0.456	0.387	0.6	0.483	0.707	0.545	0.296302	9.12487	0.136	4.55972	1.04668	0.10639
50	0.458	0.57	0.412	0.459	0.491	0.386	0.655	0.554	0.736	0.553	3.68058	8.6831	1.096	4.3253	1.04463	0.10285
60	0.418	0.515	0.379	0.452	0.522	0.444	0.714	0.552	0.77	0.546	4.29699	8.18761	1.248	4.1256	1.0422	0.0986515
70	0.35	0.595	0.324	0.369	0.545	0.421	0.742	0.618	0.733	0.603	3.75239	8.28502	1.2	4.16301	1.0437	0.102635
80	0.22	0.56	0.28	0.316	0.541	0.394	0.758	0.623	0.735	0.601	0.421388	8.41199	0.112	4.22649	1.04093	0.0981199
90	0.244	0.547	0.234	0.267	0.49	0.405	0.837	0.626	0.738	0.579	-0.313717	7.89079	-0.132	3.93211	1.05439	0.113362
100	0.288	0.46	0.289	0.243	0.557	0.477	0.789	0.583	0.766	0.565	0.365489	7.87968	0.068	3.88659	1.05272	0.11135
110	0.241	0.477	0.235	0.177	0.559	0.432	0.806	0.605	0.826	0.519	-1.68594	8.14352	-0.492	4.01075	1.04408	0.105127
120	0.214	0.463	0.227	0.142	0.538	0.383	0.773	0.602	0.865	0.492	-3.97333	7.79458	-1.204	3.79832	1.04674	0.10931
130	0.266	0.488	0.162	0.101	0.618	0.436	0.754	0.603	0.867	0.621	-1.10657	7.90643	-0.336	3.97778	1.05258	0.109779
140	0.222	0.458	0.123	0.089	0.628	0.444	0.778	0.666	0.87	0.649	-1.06717	7.86865	-0.292	3.89063	1.05247	0.108858
150	0.194	0.438	0.084	0.092	0.615	0.516	0.826	0.75	0.869	0.704	1.12333	7.48801	0.352	3.71372	1.05183	0.108719
160	0.155	0.327	0.049	0.105	0.638	0.563	0.806	0.742	0.885	0.801	0.743626	6.75797	0.284	3.32467	1.05994	0.120215
170	0.117	0.414	0.063	0.065	0.691	0.467	0.846	0.774	0.947	0.843	3.1091	6.77797	0.908	3.26755	1.05053	0.108824
180	0.072	0.384	0.049	0.053	0.669	0.456	0.858	0.776	0.932	0.818	0.908416	6.80352	0.268	3.33803	1.05333	0.111782
190	0.093	0.331	0.034	0.015	0.638	0.492	0.805	0.863	0.94	0.856	1.06509	6.46168	0.268	3.16294	1.06027	0.121085
200	0.092	0.357	0.063	0.007	0.657	0.524	0.839	0.847	0.925	0.847	1.91836	6.62526	0.632	3.24061	1.06525	0.122634
