cycle	pf_1000	pf_3001	pf_5002	pf_7003	pf_9004	pf_11005	pf_13006	pf_15007	pf_17008	pf_19009	z1_mean	z1_sd	a1_mean	a1_sd	fitness_mean	fitness_sd
2.0	0.49660000000000004	0.4934	0.4998	0.495	0.4998	0.5062	0.4955	0.49770000000000003	0.5011	0.5001	-0.19925710000000002	8.993549	-0.05920000000000001	4.4963180000000005	1.042049	0.1002179
10.0	0.4803	0.5047	0.499	0.4655	0.5008	0.4894	0.4955	0.5001	0.5333	0.5141	-0.1988653	8.929744	-0.0692	4.437479	1.044586	0.10327765
20.0	0.5062	0.5135	0.5094000000000001	0.47590000000000005	0.49850000000000005	0.4707	0.502	0.48769999999999997	0.5543	0.5217	0.5318333	8.811513	0.15960000000000002	4.392167	1.0433569999999999	0.10113506000000001
30.0	0.5055	0.5269999999999999	0.5	0.4769	0.4848	0.48019999999999996	0.5069	0.5034	0.5551	0.5338	0.9537118299999999	8.830423999999999	0.2944	4.3872219999999995	1.043601	0.10229562
40.0	0.5136000000000001	0.5288999999999999	0.49169999999999997	0.46299999999999997	0.4457	0.4521	0.5221	0.5168999999999999	0.5466	0.5151	-0.0628367	8.685863999999999	-0.017200000000000003	4.328892000000001	1.043997	0.10235597999999999
50.0	0.4974	0.5507	0.522	0.4468	0.4358000000000001	0.43979999999999997	0.5518000000000001	0.5251	0.5451	0.5227	0.48427913	8.694555	0.1488	4.317156	1.0413080000000001	0.0988131
60.0	0.48390000000000005	0.5723	0.5181	0.4314	0.4311	0.4303	0.5564	0.533	0.5737	0.5134000000000001	0.5816496	8.447953	0.1744	4.203444	1.0461500000000001	0.10538675
70.0	0.4746	0.5703	0.5316	0.43499999999999994	0.45149999999999996	0.4222	0.5730999999999999	0.5312	0.5902000000000001	0.5229	1.2798515	8.49292	0.4104	4.222121	1.046397	0.10435994
80.0	0.4742	0.5631999999999999	0.5294000000000001	0.438	0.45410000000000006	0.4122	0.5699	0.513	0.5965	0.5377	1.2174627	8.282688	0.3528	4.0895269999999995	1.04409	0.10139838999999999
90.0	0.47669999999999996	0.5484	0.5015000000000001	0.4224	0.42669999999999997	0.41609999999999997	0.5772	0.49960000000000004	0.6140000000000001	0.5591	0.5106576	8.190244	0.1668	4.078111	1.0489549999999999	0.10819140000000001
100.0	0.49210000000000004	0.5383	0.4949	0.42250000000000004	0.4434	0.4024	0.561	0.52	0.6118	0.5465	0.37945470000000003	8.188799	0.1316	4.046179	1.0470760000000001	0.10392784
110.0	0.4726	0.5730999999999999	0.5163	0.4157	0.42780000000000007	0.4229	0.5617	0.5025000000000001	0.6176999999999999	0.5423	0.7084741	8.303717	0.2104	4.100918999999999	1.043957	0.10157111999999999
120.0	0.4574	0.5687	0.5253	0.42679999999999996	0.403	0.41459999999999997	0.5593	0.5089	0.638	0.5259	0.3639891	8.00055	0.1116	3.971031	1.048212	0.10712189999999999
130.0	0.45949999999999996	0.5983	0.5083	0.42469999999999997	0.4154999999999999	0.4548	0.5528	0.5001	0.6389	0.5371	1.1487418	8.038565	0.36	3.9655270000000002	1.047333	0.10524640999999998
140.0	0.4525	0.5859	0.5034	0.42489999999999994	0.4072	0.4655	0.563	0.505	0.6407	0.5401	1.22422099	7.912443999999999	0.3528	3.9042499999999998	1.050097	0.10781460000000001
150.0	0.4484	0.5839000000000001	0.484	0.4324	0.41369999999999996	0.4643	0.5625	0.5142	0.6612	0.5434	1.4547385800000001	7.7900469999999995	0.43200000000000005	3.861512	1.050592	0.10944991
160.0	0.4162	0.5764	0.48579999999999995	0.43810000000000004	0.4199	0.4561	0.5514	0.5157999999999999	0.645	0.5601	0.9101567899999999	7.787418	0.2592	3.8389420000000003	1.050871	0.10866500000000001
170.0	0.4013	0.5844	0.5115000000000001	0.43360000000000004	0.4058	0.47519999999999996	0.5346	0.524	0.6328	0.5592	0.80227009	7.798698	0.24959999999999996	3.8449040000000005	1.0503019999999998	0.10960908
180.0	0.43100000000000005	0.5820000000000001	0.5145	0.43149999999999994	0.4063	0.4819	0.5293	0.5241	0.6381	0.5569	1.3551959	7.664651000000001	0.38239999999999996	3.782127	1.052622	0.1109024
190.0	0.4304	0.5726	0.5153	0.42619999999999997	0.3963	0.47750000000000004	0.5223	0.5447	0.6452	0.5660999999999999	1.38307401	7.409637999999999	0.38639999999999997	3.652014	1.055119	0.1133878
200.0	0.4271	0.5634	0.5267000000000001	0.43689999999999996	0.3903	0.4686	0.49929999999999997	0.5530999999999999	0.6449	0.5623	0.91542338	7.419327	0.2904	3.651079	1.052218	0.10985249999999999
210.0	0.42329999999999995	0.5399	0.5049	0.4441	0.3837	0.45919999999999994	0.5067999999999999	0.5679000000000001	0.6578	0.5471999999999999	0.40363742	7.307689999999999	0.1392	3.573102	1.053327	0.11003558
220.0	0.4187	0.5033	0.5062	0.4394	0.38120000000000004	0.47400000000000003	0.5187999999999999	0.5912	0.6599	0.5551999999999999	0.6257005	7.2938469999999995	0.1916	3.5724620000000002	1.055429	0.11285590000000001
230.0	0.434	0.5075000000000001	0.5065000000000001	0.44239999999999996	0.3865	0.45339999999999997	0.521	0.6125	0.6627	0.5522	1.0774537	7.192894	0.3148	3.564288	1.052586	0.1095535
240.0	0.4286	0.5227999999999999	0.5107	0.45389999999999997	0.37249999999999994	0.4337	0.5224	0.6205999999999999	0.6565000000000001	0.5367	0.846605	7.193795	0.23359999999999997	3.54876	1.05396	0.1112997
250.0	0.4495	0.5091	0.4936	0.4565	0.3608	0.4373	0.532	0.6014	0.6525000000000001	0.5453	0.55163722	7.222576999999999	0.152	3.5289200000000003	1.0542989999999999	0.11068074000000001
260.0	0.4588	0.5154	0.4694	0.47709999999999997	0.3608	0.4516	0.5389999999999999	0.6073999999999999	0.6335	0.5628	1.0173709	7.181316	0.3032	3.503168	1.055823	0.1130147
270.0	0.45620000000000005	0.4979	0.48840000000000006	0.4626	0.3874	0.4582	0.5256000000000001	0.6075	0.6229	0.5679000000000001	1.0196211	7.035383	0.2984	3.4537370000000003	1.05808	0.1147966
280.0	0.4548	0.5086	0.4909	0.44909999999999994	0.4016	0.45170000000000005	0.5144	0.6014999999999999	0.6149	0.5795	0.8481609999999999	6.913955	0.26799999999999996	3.376485	1.056507	0.1136734
290.0	0.4706	0.4974	0.4761	0.4385	0.3956	0.45220000000000005	0.5113	0.5947	0.6014	0.5756	0.16170032	6.83029	0.0536	3.3452010000000003	1.058498	0.11495790000000002
300.0	0.45570000000000005	0.5088	0.4828	0.43220000000000003	0.3948	0.47859999999999997	0.5013	0.5980000000000001	0.622	0.6054999999999999	1.0771929	6.622001	0.31880000000000003	3.229103	1.060942	0.1167867
310.0	0.4607	0.5027	0.46259999999999996	0.4372	0.3899	0.48789999999999994	0.5181	0.6002	0.6142000000000001	0.5993	1.0024745	6.672423	0.2912	3.258487	1.060798	0.11720459999999999
